,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__max_features,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
35,0.008884167671203614,0.0022604054263524413,0.0015662431716918946,3.489002367471487e-05,1,2,5,1,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 1}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
36,0.014656138420104981,0.004000587198439369,0.0021430253982543945,0.0008774665814136362,1,2,5,5,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 5}",0.6495098039215687,0.5202762923351159,0.5,0.5202762923351159,0.5,0.5,0.5,0.5303030303030303,0.5278520499108734,0.5,0.5248217468805704,0.04325304229546997,513
37,0.01753988265991211,0.0045245677750653775,0.002805066108703613,0.0015604315176412239,1,2,5,10,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
38,0.04871697425842285,0.007860017972228272,0.003508639335632324,0.00047101823936761684,1,2,5,50,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
39,0.08639266490936279,0.00791518598001459,0.004851698875427246,0.00024228337780707687,1,2,5,100,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 100}",0.5,0.5075757575757576,0.5075757575757576,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5015151515151516,0.0030303030303030277,537
40,0.38768563270568845,0.03554820462574779,0.01918642520904541,0.003775929936855377,1,2,5,500,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 500}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
41,0.7463590860366821,0.05282295587075893,0.03812620639801025,0.008557544225020187,1,2,5,1000,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__n_estimators': 1000}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
42,0.011829376220703125,0.0032587800182701963,0.0015775442123413086,2.2614614918783787e-05,1,2,10,1,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 1}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
43,0.013977551460266113,0.0030874064683071526,0.002097821235656738,0.0005089117642984069,1,2,10,5,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 5}",0.6495098039215687,0.5202762923351159,0.5,0.5202762923351159,0.5,0.5,0.5,0.5303030303030303,0.5278520499108734,0.5,0.5248217468805704,0.04325304229546997,513
44,0.0174694299697876,0.004370155990245447,0.0020429372787475588,8.119908533639314e-05,1,2,10,10,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
45,0.04523389339447022,0.008205174946047155,0.0037941932678222656,0.0015071614665670562,1,2,10,50,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
46,0.08737220764160156,0.012341780955941748,0.004804372787475586,6.748458834138685e-05,1,2,10,100,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 10, 'randomforestclassifier__n_estimators': 100}",0.5,0.5075757575757576,0.5075757575757576,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5015151515151516,0.0030303030303030277,537
